Season,Winner,Winner Country,Winner Score,scorer 1,scorer 2,scorer 3,scorer 4,scorer 5,scorer 6,scorer 7,Finalist Score,opponent scorer 1,opponent scorer 2,opponent scorer 3,Finalist,Finalist Country,Venue,Attendance,Meilleur Buteur,Pays buteur,Club buteur,buts
2012–13,Bayern Munich, Germany,2,Mandzukic,Robben,,,,,,1,Gundogan,,,Borussia Dortmund, Germany,"England Wembley Stadium, London","86,298",Cristiano Ronaldo,Portugal,Real Madrid,12
2013–14,Real Madrid, Spain,4,Ramos,Bale,Marcelo,Ronaldo,,,,1,Godin,,,Atlético Madrid, Spain,"Portugal Estádio da Luz, Lisbon","60,976",Cristiano Ronaldo,Portugal,Real Madrid,17
2014–15,Barcelona, Spain,3,Rakiric,Suarez,Neymar,,,,,1,Morata,,,Juventus, Italy,"Germany Olympiastadion, Berlin","70,442",Cristiano Ronaldo,Portugal,Real Madrid,10
2015–16,Real Madrid, Spain,1,Ramos,,,,,,,1,Carrasco,,,Atlético Madrid, Spain,"Italy San Siro, Milan","71,942",Cristiano Ronaldo,Portugal,Real Madrid,16
2016–17,Real Madrid, Spain,4,Ronaldo,Casemiro,Ronaldo,Asensio,,,,1,Mandzukic,,,Juventus, Italy,"Wales Millennium Stadium, Cardiff","65,842",Cristiano Ronaldo,Portugal,Real Madrid,12
2017-18,Real Madrid, Spain,3,,,,,,,,1,,,,Liverpool FC,England,"Stade olympique, Kiev","61,561",Cristiano Ronaldo,Portugal,Real Madrid,15
2018-19,Liverpool FC,England,2,,,,,,,,0,,,,Tottenham Hotspur,England,"Stade Metropolitano, Madrid","63,272",Lionel Messi,Argentina,FC Barcelona,12
2019-20,Bayern Munich,Germany,1,,,,,,,,0,,,,Paris Saint-Germain,Portugal,"Estádio da Luz, Lisbon",0,Robert Lewandowski,Poland,Bayern Munich,15
2020-21,Chelsea FC ,England,1,,,,,,,,0,,,,Manchester City,Portugal,"Stade du Dragon, Porto","14,110",Erling Haaland,Norway,Borussia Dortmund,10
2021-22,Real Madrid,Spain,1,,,,,,,,0,,,,Liverpool FC,France,"Stade de France, Saint-Denis","75,000",Karim Benzema,France,Real Madrid,15
